u,v
907,673
721,830
918,292
510,247
872,581
124,440
978,333
184,589
909,81
944,48
884,573
209,682
1090,269
421,937
130,236
538,201
835,317
727,464
173,426
965,512
744,278
123,843
619,930
654,897
80,881
939,648
816,141
768,766
382,959
1032,156
609,202
688,266
894,600
844,114
277,1040
610,283
1067,24
574,500
451,295
376,1046
526,963
966,322
732,164
878,218
724,178
840,219
348,1050
1042,344
132,379
82,787
522,970
93,972
521,614
931,1025
900,1010
1043,183
595,810
942,616
578,986
140,275
425,664
919,242
423,316
143,420
1086,10
1089,6
1037,215
443,672
1009,418
946,618
94,527
598,429
953,239
95,730
882,206
1073,30
699,606
558,994
22,516
1053,973
15,477
849,65
323,1020
570,739
402,746
404,298
508,248
1039,391
410,1006
352,754
740,234
786,628
66,424
1056,89
862,632
851,641
858,262
75,518
791,172
473,271
954,962
381,453
933,121
486,902
781,280
910,412
1085,264
366,824
738,812
528,337
312,304
29,519
747,152
1031,1061
809,54
393,652
524,241
799,171
553,951
497,471
365,86
291,384
126,716
1044,222
707,182
297,711
725,505
572,1077
57,720
777,134
874,713
649,375
756,349
633,507
976,1017
745,748
757,802
1099,166
992,49
571,303
331,968
73,691
667,356
1007,43
847,579
416,383
665,1087
767,488
984,68
452,723
1029,237
1096,7
491,1065
924,547
434,549
1076,25
179,686
703,188
639,936
785,901
83,489
891,653
175,590
454,481
890,136
495,253
290,796
1019,39
621,923
887,139
427,374
977,51
77,23
506,536
293,401
797,1014
784,666
441,165
935,408
1082,854
602,1022
697,783
585,551
462,898
580,216
34,457
16,668
1049,267
925,655
853,221
584,698
336,358
967,499
702,848
96,562
949,63
779,137
928,525
913,640
161,398
683,870
750,631
987,467
718,181
338,296
647,386
676,193
646,430
770,447
335,537
769,604
232,1064
758,347
611,822
912,670
546,204
906,129
1018,270
980,405
396,543
498,1048
319,677
644,208
470,568
492,187
955,97
368,593
168,638
885,1057
1033,299
466,170
772,780
671,877
776,741
1059,28
517,1066
657,533
55,864
330,413
1095,359
415,389
563,224
985,380
534,1011
326,1080
387,821
88,790
125,272
501,681
100,1002
873,678
246,836
926,842
309,367
991,315
692,504
475,268
868,92
947,245
808,288
1093,448
993,370
351,476
511,199
529,244
603,956
762,284
479,261
56,823
1013,302
726,1023
736,829
531,555
192,433
753,729
564,979
806,265
552,1004
1021,1083
997,308
814,214
159,539
122,1038
755,811
369,339
669,371
556,211
608,212
1074,20
636,1097
952,458
1078,18
625,957
1052,127
256,565
436,294
406,927
582,186
763,792
883,708
1055,146
79,663
794,1054
818,99
693,831
105,828
373,871
1016,163
700,857
301,74
684,867
1034,998
1047,281
567,220
1070,17
583,820
285,888
328,203
566,996
586,983
798,116
478,263
44,1063
414,355
327,597
801,117
485,662
920,226
439,286
660,532
1030,205
833,194
921,554
442,318
866,627
395,197
548,210
61,617
623,460
658,198
445,310
680,869
361,981
938,108
1024,260
147,661
174,773
825,743
342,357
52,765
827,115
1015,989
841,696
950,612
346,354
64,101
1041,223
320,701
561,916
630,607
804,643
875,712
133,749
459,999
456,975
128,225
307,474
774,1001
1081,255
1045,332
8,592
1092,273
490,177
620,314
496,257
969,706
1071,70
679,876
613,940
230,403
626,879
795,13
40,251
1072,169
576,231
228,469
417,494
577,217
1091,11
1069,438
915,856
605,550
33,513
734,313
321,409
929,637
200,775
35,540
502,1058
360,974
941,629
813,709
213,839
1026,444
207,252
943,437
737,826
249,752
687,340
394,334
751,599
601,282
509,446
832,196
575,400
362,274
569,60
90,480
731,760
545,880
588,195
845,98
846,728
852,659
694,859
76,1084
483,932
279,388
503,254
622,53
392,176
771,343
103,311
259,397
904,287
1036,345
1060,46
761,149
650,300
390,1005
419,385
988,542
541,240
817,422
372,557
960,62
306,364
559,819
1051,189
1088,9
1008,227
908,289
587,719
142,634
863,1068
162,850
695,190
324,363
45,710
455,465
948,892
329,487
158,596
191,782
341,461
1012,238
594,250
705,185
717,815
958,523
42,515
27,535
714,428
865,350
1094,411
860,482
675,180
1035,990
733,450
353,803
764,145
1079,120
484,258
945,67
449,645
995,135
1062,472
432,305
493,1075
624,911
742,229
544,235
151,807
463,167
109,838
893,407
591,325
961,560
378,59
635,377
905,399
435,431
12,514
788,735
837,520
793,14
1098,3
