User_ID,x,y,h_linear,h_dB,LOS
0,4604.557787353606,519.8838959299052,1.3220426206978786e-09,-177.56852330316218,False
1,-2174.3226218226478,-2142.451868913812,3.537725367150085e-08,-149.02527216767172,False
2,3713.7730669141906,293.44344843203515,1.1227897019890463e-08,-158.99325802116567,False
3,-1199.7174851755246,4738.363818931415,1.0849102942383115e-08,-159.29132282691393,False
4,-2329.2172561684747,3604.3705308760354,1.644442387263465e-08,-155.67909856624874,False
5,-3138.3329532897624,-3248.9990384897897,6.426134600505443e-09,-163.83965209532036,False
6,1012.05340720013,1225.9330767583629,3.8480152015026546e-07,-128.29524184683368,False
7,4470.56948230713,-1796.165433378169,3.295814974904186e-09,-169.63810851623887,False
8,-3196.322313572183,2238.582786618199,4.6678422448352135e-09,-166.61581600330732,False
9,-3652.297705728255,1254.8136801190838,3.7198188851285314e-09,-168.58722938432396,False
10,1514.780092868963,6.681328681282272,1.3283433670934775e-07,-137.53372758121805,False
11,-2.408012119325406,2937.6266413742187,1.3270008252951927e-08,-157.54192161496564,False
12,-3692.437187220869,1713.1026525191444,1.5174726814249917e-08,-156.37700999996784,False
13,536.7653612277096,-3279.439000578755,1.3177021631035557e-08,-157.60299567832288,False
14,3683.1124506362166,-471.0385714753013,8.269136614575058e-09,-161.64974632535524,False
15,-2195.8776389377103,-3573.644313651044,7.334463251133129e-08,-142.69251483687773,False
16,2851.8686750223055,-2569.4115752374923,6.465849181797596e-09,-163.78614534879188,False
17,694.6647056631309,-875.077100657206,2.0251160413913188e-07,-133.87095883291457,False
18,2993.713558821919,2254.434546864406,8.489674245352069e-09,-161.42115642030572,False
19,-3814.792304915747,2146.234255553406,1.2051033013950307e-08,-158.37879374681594,False
20,4623.327744487228,1182.1796854745212,2.2206201853959564e-08,-153.07012319728048,False
21,-1271.2935618666152,840.57203766614,1.8076130867297063e-08,-154.85740995882762,False
22,-4632.40378837692,1050.6521280788236,4.8557147331960565e-09,-166.2731480949913,False
23,1793.1895839885724,-2882.4436270177466,7.025821717205239e-08,-143.06593386849215,False
24,2558.552557499716,2180.428983034113,1.0581298337663042e-08,-159.50839997878873,False
25,1284.2286864483356,4830.775699399845,5.392463460725457e-09,-165.3626451830094,False
26,478.6789456183825,1957.4115703756693,5.371879388639094e-08,-145.39731324626703,False
27,-1858.0004227380161,3779.1664469938555,8.059789591888243e-09,-161.8724482988749,False
28,-734.1036329873407,1864.5894416676142,7.707415745043417e-10,-182.25056206467883,False
29,4170.957203983826,-1694.8555114744602,5.726166994034271e-09,-164.84120306890074,False
