u,v
812,743
264,498
300,375
4,201
591,667
460,385
438,642
55,323
988,175
311,544
502,507
192,46
461,469
839,660
869,50
202,125
1050,766
218,1046
133,799
53,896
994,702
1071,588
219,222
959,675
485,751
1069,148
7,578
113,434
30,108
935,396
17,643
990,1091
1074,949
28,404
778,450
910,665
888,879
664,1042
63,104
963,903
975,670
208,608
128,512
289,658
1099,473
754,601
1018,277
183,731
80,527
970,497
808,867
622,852
448,137
545,1066
847,428
285,831
567,417
1027,486
1014,48
814,23
976,82
168,1076
179,875
583,1047
617,934
139,349
779,369
843,593
723,922
412,1038
254,554
1089,761
534,29
265,795
674,828
872,357
947,43
299,656
524,874
734,35
318,756
433,721
213,295
813,714
431,597
149,797
882,560
1020,45
275,889
511,25
686,525
1097,64
598,817
1063,914
157,849
270,131
143,258
722,212
638,789
600,533
644,34
1029,320
282,819
42,378
333,61
965,905
156,1061
410,165
712,862
912,503
685,547
906,388
624,1077
792,899
513,942
850,19
954,397
415,1072
423,421
495,982
302,606
364,1078
129,918
163,618
457,1025
604,263
164,186
1084,639
1059,836
5,1030
494,138
78,916
488,420
324,631
226,764
313,1043
1033,352
135,599
941,245
961,407
880,1073
402,943
105,522
492,682
1082,1062
230,586
87,900
358,496
733,339
788,678
472,207
1005,140
475,784
894,1085
13,9
985,518
557,338
279,940
824,725
745,191
681,44
400,236
1037,83
720,499
242,134
411,580
250,546
838,296
1045,693
326,158
672,154
74,956
898,895
504,465
1054,537
342,508
331,276
92,408
3,200
427,8
86,458
974,51
929,319
217,2
446,308
329,356
419,146
612,671
559,449
381,272
1040,204
919,539
805,724
856,463
1055,798
589,91
776,394
228,590
122,41
548,293
298,517
728,1094
95,773
1095,443
347,188
181,707
1051,930
1036,864
641,924
1081,744
701,1067
851,173
551,117
637,259
190,89
220,737
596,359
353,555
430,47
1041,981
150,383
877,1086
977,620
209,543
832,1012
957,972
111,310
365,654
804,871
406,141
816,348
853,945
268,232
398,447
584,490
996,1019
651,570
114,366
902,690
538,84
1004,501
829,155
955,103
800,102
10,274
1070,616
12,572
806,594
647,1024
1064,303
815,516
96,878
238,921
526,393
327,215
107,354
863,1068
717,747
121,249
748,262
309,392
904,124
93,199
860,937
440,312
542,573
38,269
811,79
666,27
374,426
786,821
253,762
251,441
322,1075
350,60
301,176
646,1026
