u,v
700,968
183,1019
368,486
938,542
144,303
171,691
984,613
403,1090
382,962
1038,277
1012,201
940,798
164,1041
766,106
25,831
772,169
255,339
751,489
90,1070
40,221
869,181
893,103
207,1082
553,1051
264,143
964,349
1043,1021
179,413
655,889
409,1050
135,541
122,669
484,752
175,708
942,537
81,519
743,278
785,436
415,509
92,511
315,995
1002,1054
1008,155
864,62
101,953
931,1037
263,759
1027,290
54,1081
569,665
635,675
293,1062
560,313
985,127
874,686
653,585
898,548
110,488
967,46
98,464
928,1086
1029,960
237,80
367,619
341,454
545,971
915,390
469,694
632,600
1016,372
267,1036
875,260
502,306
284,483
102,515
631,589
797,709
913,78
56,364
189,309
340,609
501,351
606,282
140,899
707,28
966,1031
757,807
505,859
728,239
460,814
338,1098
1009,852
847,1007
240,574
438,773
1048,557
638,884
1099,37
465,936
113,276
1089,679
259,298
184,358
979,220
301,389
435,688
377,687
231,21
514,696
238,578
446,636
996,109
0,630
828,801
749,650
975,137
1059,972
227,927
778,73
48,988
217,722
439,524
317,951
725,737
444,843
23,667
825,584
380,1
520,86
1065,131
476,538
64,896
1046,625
729,312
685,402
1000,536
699,956
161,376
36,916
1094,856
304,261
657,7
473,547
499,31
124,533
678,38
1066,427
1039,424
1023,868
834,992
1040,256
385,417
572,885
575,156
87,451
34,701
292,994
943,456
120,416
24,535
965,1053
450,566
590,662
491,245
658,470
396,676
333,567
188,858
1003,640
661,366
905,767
712,588
758,228
266,1045
99,401
1075,721
941,11
796,888
817,71
495,59
39,387
150,141
362,197
682,628
18,795
861,621
978,681
203,279
723,480
646,724
96,295
763,1042
810,611
226,33
265,246
706,503
556,497
647,166
689,388
61,232
194,369
1055,559
393,463
750,100
280,577
274,160
273,316
1072,229
809,310
654,345
1010,844
1096,288
838,353
952,714
871,359
398,711
970,147
651,72
174,1078
275,703
1025,163
1011,108
49,907
383,177
726,352
926,1097
12,442
196,760
268,762
1057,493
1026,705
285,781
955,321
568,347
422,531
355,335
180,925
693,790
906,736
6,22
1071,89
26,973
990,63
918,909
684,845
717,477
731,9
1017,195
1005,392
544,921
257,900
895,867
51,830
596,287
740,15
771,176
139,410
756,930
1079,1001
1088,474
819,1063
471,167
823,777
112,187
1032,249
897,159
507,659
977,974
1014,342
806,827
580,198
792,173
633,603
105,903
886,419
733,954
199,16
552,1085
924,878
692,132
190,202
334,530
732,149
660,74
774,182
851,428
908,935
152,866
573,300
1058,748
923,17
989,253
271,677
605,674
704,85
350,616
193,211
1056,791
66,299
440,982
291,826
88,643
97,1022
857,593
805,375
441,614
344,248
800,666
425,554
833,912
618,880
649,47
598,629
270,563
307,475
969,594
610,70
901,418
60,671
837,612
741,400
882,215
4,250
434,1020
348,82
840,944
391,1067
185,668
1084,663
820,225
356,754
490,745
129,513
571,922
698,331
534,384
411,986
5,117
987,746
510,902
808,932
459,947
525,617
904,933
816,821
116,75
233,716
854,576
959,604
789,891
842,262
644,322
747,755
213,862
641,14
244,468
784,386
76,94
374,550
998,782
793,405
429,1006
204,407
168,269
652,302
529,172
216,283
379,591
222,394
209,579
1044,768
1069,414
620,45
55,399
770,597
58,804
84,404
42,582
976,853
123,761
626,153
408,119
546,35
