User_ID,h_linear,h_dB
0,2.6112411208673603e-09,-119.99997038738344
1,2.7251402333693245e-09,-119.99996774772086
2,4.575675303119299e-09,-119.99990907356532
3,2.111981521230815e-09,-119.99998062848574
4,5.4519764400192575e-09,-119.99987091202213
5,9.121705530122455e-09,-119.99963865808631
6,3.3100804971335333e-08,-119.99524419969477
7,6.003400331867187e-10,-119.99999843476756
8,5.246936460278827e-09,-119.99988043888865
9,1.491306864257129e-08,-119.99903423812702
10,1.6561078397493534e-09,-119.99998808865121
11,1.1361068355162854e-09,-119.99999439439648
12,4.52854670389397e-08,-119.99110272377906
13,6.834562231821976e-10,-119.99999797135706
14,1.2406500117926684e-08,-119.99933157996642
15,4.516999141681883e-10,-119.99999911389685
16,4.863236911483241e-10,-119.99999897284707
17,1.3365879736587957e-09,-119.99999224147754
18,8.483760057642734e-09,-119.99968743133567
19,2.2708450556052872e-09,-119.99997760463233
20,7.388937163731423e-09,-119.99976289735287
21,3.4087479710283935e-08,-119.99495661755206
22,3.3350701534924767e-09,-119.99995169502702
23,8.063755138575747e-09,-119.99971761289885
24,2.3403027711165458e-08,-119.99762201286771
25,2.3376938707799764e-09,-119.99997626668514
26,8.383149735433507e-09,-119.99969480072474
27,3.7898966715434026e-09,-119.99993762135577
28,1.020215844217986e-08,-119.99954799229428
29,7.471254737654719e-09,-119.99975758511741
30,9.917185672780017e-09,-119.99957288989725
31,1.0518446339891568e-08,-119.99951953309417
32,6.223737590871356e-10,-119.99999831776458
33,1.7797030815429053e-08,-119.9986246581849
34,1.5175344496153465e-08,-119.99899997368888
35,7.473673629300971e-08,-119.97580963125554
36,3.7797316033821187e-10,-119.99999937955083
37,6.38868635352563e-09,-119.99982274496381
38,1.2332789382348188e-09,-119.9999933944861
39,4.733612594957097e-09,-119.99990268834262
40,4.566052898485214e-09,-119.99990945558623
41,3.1856287884457144e-07,-119.58022474179313
42,4.986502279064305e-09,-119.99989201312941
43,3.097912412587903e-08,-119.9958340479532
44,3.392693049486566e-08,-119.995003986252
45,2.0352634551923812e-08,-119.99820139561828
46,9.518214018923692e-10,-119.9999960654502
47,3.3903648500404514e-09,-119.99995007998709
48,3.1061875945860786e-09,-119.9999580977274
49,3.4036147603808882e-09,-119.99994968904136
50,1.7798312737447324e-08,-119.9986244600771
51,1.1794285900827501e-08,-119.99939591589424
52,6.908375458227539e-09,-119.99979273507509
53,2.5684404189873347e-08,-119.9971359533174
54,6.675893999159187e-09,-119.99980644985621
55,1.4702242513106382e-08,-119.9990613481463
56,2.8350034415308733e-07,-119.66426501010375
57,3.4676499528447102e-09,-119.99994777815623
58,4.739446225039786e-09,-119.9999024483468
59,1.0393306319011236e-09,-119.9999953087181
60,3.128090248491011e-08,-119.99575252854191
61,5.327979835583145e-10,-119.99999876715239
62,4.780814079066209e-09,-119.9999007379917
