User_ID,h_linear,h_dB
0,3.853976613011517e-10,-119.99999935493656
1,4.394501239813965e-09,-119.99991613141795
2,2.2341211352796147e-09,-119.99997832312557
3,7.272750258401122e-09,-119.99977029514477
4,2.8402524544623296e-09,-119.99996496545778
5,1.8981030781916766e-08,-119.9984356076761
6,3.7798932975590815e-09,-119.9999379502138
7,2.4739611739884528e-09,-119.99997341915756
8,3.495346341648451e-08,-119.99469726923053
9,5.6208737839919754e-09,-119.99986279020435
10,2.6923509383637933e-08,-119.99685304675825
11,3.753001802157646e-09,-119.99993882995518
12,1.365302518989013e-08,-119.99919052839292
13,5.073952023367784e-09,-119.99988819237205
14,3.5133296500676123e-09,-119.99994639325563
15,3.909069571816341e-08,-119.99336868736648
16,3.754908227832842e-09,-119.9999387677943
17,1.324522660337263e-08,-119.99923815783744
18,1.3032325146255217e-08,-119.99926245037457
19,2.3019085866505055e-09,-119.99997698773818
20,3.21755655399273e-08,-119.99550621819955
21,3.242049750435394e-08,-119.99543757729208
22,2.7567344955433755e-09,-119.99996699554677
23,8.402637538248929e-09,-119.99969338016889
24,1.0262088403219028e-08,-119.9995426665709
25,1.4010846260138052e-08,-119.99914754703985
26,4.792375831216206e-09,-119.99990025731321
27,5.90837164317167e-09,-119.99984839541314
28,3.91987031123286e-09,-119.99993326950106
29,7.11427343002716e-10,-119.99999780191082
30,4.5369907086625966e-10,-119.99999910603597
31,6.480976315423453e-09,-119.99981758688517
32,1.7967708266574566e-09,-119.99998597932297
33,5.955933316784236e-10,-119.9999984594213
34,3.74930720417835e-09,-119.9999389503313
35,9.742731801561446e-09,-119.99958778366738
36,1.5857940234587065e-09,-119.99998907862502
37,1.657738391666505e-08,-119.99880668078197
38,5.290769755897458e-09,-119.99987843292774
39,2.758033373549837e-09,-119.99996696443844
40,2.8532654124736444e-09,-119.99996464369373
41,6.245059524339458e-09,-119.99983062511753
42,7.236666804012636e-09,-119.99977256877341
43,8.946912529330519e-08,-119.96537432406683
44,6.074335099213578e-10,-119.9999983975602
45,5.849873418449187e-09,-119.9998513825457
46,1.606179414364142e-08,-119.99887974624494
47,8.394392018779493e-09,-119.99969398162534
48,1.577389393909166e-08,-119.99891954142647
49,2.034754777550477e-09,-119.99998201925979
50,7.627418316754147e-10,-119.99999747338357
51,1.446737309224014e-08,-119.99909109555335
52,1.1600690246961282e-09,-119.9999941554419
53,2.502020008841209e-09,-119.99997281279832
54,5.0454126632364335e-08,-119.98895856529948
55,2.044919980268395e-08,-119.99818429136353
56,3.431433526177452e-09,-119.99994886327215
57,1.7721678348846603e-09,-119.99998636066083
58,8.473386084800439e-10,-119.99999688184178
59,1.6773128964059926e-09,-119.99998778166939
60,1.3706480130097929e-09,-119.99999184102157
61,1.0194676703773e-09,-119.99999548631756
62,2.2892230960022558e-08,-119.99772465751015
63,1.3342320057046356e-08,-119.99922694860742
64,8.782399272567687e-09,-119.99966503925171
65,6.072458314948602e-10,-119.99999839855025
66,2.366628728171438e-08,-119.99756822728602
67,5.211725226402282e-09,-119.99988203818815
68,9.23540163225982e-09,-119.99962959455286
69,5.364054264173599e-09,-119.99987504190702
70,3.7408220310890487e-10,-119.99999939225923
71,3.044558416006587e-09,-119.99995974397203
72,3.2611530490136314e-10,-119.99999953812267
73,4.5601711591379694e-08,-119.99097815361677
74,1.5307007505272755e-09,-119.9999898242977
75,1.85701941762769e-09,-119.99998502328891
76,1.0286822460425136e-07,-119.95428496638327
77,7.638710309617067e-09,-119.99974659701792
78,1.6425921811689346e-09,-119.99998828227697
79,1.476826183730085e-08,-119.9990529002482
80,2.765395945316304e-09,-119.99996678782679
81,3.953542699690658e-09,-119.99993211813205
82,1.7727180827497434e-08,-119.9986354312206
83,2.025920844548014e-10,-119.99999982175012
84,1.8902933799387417e-09,-119.99998448177793
85,4.542512909074287e-09,-119.9999103867618
86,1.1041376368860634e-08,-119.9994705752164
87,1.4046925451773406e-08,-119.9991431515344
88,8.941272848083652e-08,-119.96541778957508
89,1.077061919237608e-09,-119.99999496191603
90,2.545309757145235e-10,-119.9999997186379
91,6.433116347745873e-08,-119.9820638178565
92,6.1866863026694735e-09,-119.99983377658853
93,1.550407547077331e-08,-119.9989561841985
94,1.0670510409621304e-08,-119.99950554135344
95,9.298918098018529e-10,-119.99999624466254
96,2.9062941422889866e-08,-119.9963332601831
97,9.163203580008187e-09,-119.99963536298702
98,4.147977608306075e-09,-119.99992527715796
99,3.2502035200962163e-08,-119.99541461153255
100,6.031395137580801e-09,-119.9998420164112
101,7.3812448608268565e-09,-119.99976339075708
102,5.893203837345809e-08,-119.98494314815338
103,1.1272548013065312e-08,-119.99944817559039
104,2.835288050940897e-08,-119.99651017071
105,4.489457477960469e-08,-119.99125550491175
106,1.9109113908343628e-09,-119.99998414140833
107,1.5517553200409034e-08,-119.99895436884515
108,3.577714097461466e-10,-119.99999944410143
109,6.250434832136771e-09,-119.99983033342576
110,2.3403393905934473e-09,-119.99997621293788
111,1.760918246442914e-08,-119.99865353405562
112,2.420289487495873e-09,-119.99997455996713
113,1.5256994537757535e-08,-119.99898918483
114,3.770205942933349e-09,-119.99993826785439
115,2.6988862097487094e-09,-119.99996836616259
116,3.052089171012492e-09,-119.99995954457904
117,4.801142457678134e-09,-119.99989989206783
118,1.598312971326055e-08,-119.99889069111171
119,3.207441849026773e-09,-119.99995532138931
120,3.721805374925185e-09,-119.99993984266052
121,1.3899060747434353e-09,-119.99999161013838
122,2.2926324836945225e-08,-119.99771787681495
123,3.8942195599705746e-10,-119.99999934139481
124,6.856920000659337e-10,-119.99999795806283
125,7.810070772114621e-09,-119.99973510058153
126,1.5067761212764064e-09,-119.99999013990097
127,2.847649253646887e-09,-119.99996478274171
128,1.1701740249094882e-09,-119.99999405317824
129,1.9066170538261898e-09,-119.99998421260526
130,6.001293453482816e-09,-119.99984358938707
131,1.1830498250122153e-07,-119.93963728696005
132,3.4778144933065573e-09,-119.99994747155908
133,2.8371343069717823e-08,-119.99650562611079
134,7.985831163375121e-10,-119.999997230353
135,2.0741463248828183e-08,-119.9981320308815
136,1.2270553785010756e-08,-119.99934614726442
137,7.797659961340294e-09,-119.99973594177865
138,3.2880117317430405e-09,-119.99995304858551
139,1.9095219597037567e-09,-119.9999841644616
140,6.01065513023035e-09,-119.99984310103194
141,1.4704518535293198e-08,-119.99906105753391
142,3.4730303495360378e-09,-119.99994761597692
143,2.1579419816560522e-09,-119.99997977619691
144,3.269449545502793e-09,-119.99995357720663
145,1.3917403538501813e-08,-119.99915887857713
146,1.5591412076060602e-09,-119.99998944265573
147,3.252041751364689e-09,-119.99995407023322
148,2.4008797149674092e-09,-119.99997496636797
149,1.407971738878171e-09,-119.9999913906224
150,1.4051890071521461e-09,-119.99999142462009
151,2.258201052878248e-08,-119.997785891943
152,5.482305598756037e-09,-119.99986947182492
153,1.5335318020988328e-07,-119.89904855608367
154,1.9847415411222183e-09,-119.99998289230987
155,4.816476593522364e-09,-119.99989925159437
156,2.5283523821508045e-09,-119.99997223752835
157,1.587913469650037e-08,-119.99890507788058
158,8.13912733199276e-08,-119.97132486630888
159,5.995480722185004e-09,-119.99984389222719
160,1.3045500420836926e-08,-119.99926095846833
161,1.0884587263969426e-09,-119.99999485473218
162,2.211111566100315e-09,-119.99997876733232
163,5.6481632636877715e-09,-119.99986145467761
164,4.1702507506404355e-09,-119.99992447254108
165,1.1696303505364774e-08,-119.99940591051615
166,2.047350697493403e-09,-119.99998179595573
167,1.0520066921007614e-08,-119.99951938503952
168,2.0705382979728864e-09,-119.99998138127592
169,8.490457302667427e-10,-119.99999686926492
170,2.8296945863304765e-08,-119.99652392111511
171,4.65030481154758e-09,-119.99990608337959
172,8.1747977589658e-08,-119.9710738100709
173,5.006183254775818e-09,-119.99989115904201
174,1.0613744172301165e-08,-119.99951078802262
175,2.8874994231087122e-08,-119.99638051203762
176,1.978223954614475e-08,-119.99830077745966
177,1.1456232020665431e-08,-119.99943004651335
178,3.3522016770490473e-09,-119.99995119749113
179,2.0196509639934554e-08,-119.99822887833899
180,3.461856632046835e-09,-119.99994795250102
181,1.287682362149749e-09,-119.99999279885684
