User_ID,h_linear,h_dB
0,3.4636981760187306e-10,-119.99999947896804
1,1.9536619905702455e-08,-119.99834270317565
2,7.100227347055802e-09,-119.9997810636496
3,1.7928392226606396e-08,-119.99860428349798
4,8.114152413286647e-10,-119.9999971406291
5,2.8966310599708997e-09,-119.99996356079816
6,3.8666257014208595e-09,-119.99993507001066
7,1.161032136443544e-09,-119.99999414573335
8,9.394065750756675e-10,-119.99999616741928
9,1.0963796907274274e-08,-119.99947798837503
10,1.024611655550126e-09,-119.99999544065278
11,2.496291887951743e-09,-119.99997293714011
12,8.004425007251655e-10,-119.99999721744055
13,7.408136298251658e-09,-119.99976166362885
14,3.1619591305834396e-09,-119.99995657951754
15,1.2502864833053698e-10,-119.99999993211037
16,1.5958160847306206e-09,-119.99998894014496
17,7.828163501906989e-09,-119.99973387187103
18,1.9832548452677384e-08,-119.99829212546643
19,1.211757794230575e-08,-119.99936234749227
20,3.971687221647459e-09,-119.99993149362852
21,4.602568974273394e-09,-119.9999080015898
22,3.4452227953262785e-09,-119.99994845146135
23,1.7540162142348562e-09,-119.9999866386343
24,5.77229680745797e-09,-119.99985529804975
25,1.182141662445411e-08,-119.99939313370922
26,1.8842408261416076e-09,-119.99998458099464
27,2.2231760780761484e-09,-119.99997853499671
28,4.496737301277463e-09,-119.99991218373651
29,5.990860161472414e-10,-119.99999844129977
30,9.106435212172854e-10,-119.99999639852061
31,6.249821506529723e-08,-119.98306938500562
32,6.134386225424944e-09,-119.99983657504575
33,9.535183768439076e-09,-119.99960515858099
34,1.5233265315768966e-08,-119.9989923262645
35,7.609139847950213e-09,-119.99974855507699
36,1.5546388191847004e-08,-119.998950479684
37,3.0131980921291185e-09,-119.99996056900763
38,4.450883577569006e-09,-119.99991396553179
39,1.4832354569899445e-07,-119.9054915765577
40,3.96711650609432e-09,-119.99993165121418
41,3.406573215245342e-09,-119.99994960154233
42,1.8761189560668805e-09,-119.99998471363271
43,3.6098700139995535e-10,-119.99999943406388
44,6.049670449184199e-09,-119.99984105758807
45,3.065631051304208e-09,-119.99995918478928
46,5.206776538626154e-10,-119.99999882260516
47,2.6921026522677585e-09,-119.99996852498329
48,6.720136116084383e-09,-119.99980387604408
49,3.3183955390498503e-09,-119.99995217684526
50,8.071612742358659e-09,-119.999717062313
51,4.356894590535386e-09,-119.99991756070008
52,8.44058732198651e-10,-119.99999690593458
53,2.7142176105394505e-09,-119.99996800574223
54,2.032268496798444e-08,-119.9982066840449
55,1.3169145565930085e-08,-119.99924688403982
56,3.218376423933716e-08,-119.9955039289597
57,5.941769881133228e-09,-119.9998466766495
58,1.470381907571435e-09,-119.99999061046375
59,1.6910140884492743e-08,-119.998758300013
60,1.2277337796804578e-08,-119.99934542412893
61,4.4534403517579085e-09,-119.99991386666076
62,2.4577451851284633e-09,-119.99997376647157
63,5.71844868273246e-09,-119.99985798518031
64,4.3721116242063625e-10,-119.99999916983055
65,2.1173771572838186e-08,-119.9980533699504
66,5.442445713492696e-09,-119.99987136294435
67,2.1510800261315413e-09,-119.99997990460989
68,1.566308896411973e-08,-119.99893466579115
69,2.51078313518396e-08,-119.99726305630794
70,6.936314992591263e-09,-119.99979105524284
71,7.45769643084778e-09,-119.99975846412954
