u,v
584,543
329,860
10,452
209,811
1093,375
576,381
905,799
617,747
312,585
443,90
505,1025
280,904
68,254
365,37
444,52
32,1056
851,332
78,440
958,727
417,363
318,836
710,574
826,866
473,749
395,873
583,565
530,835
61,966
819,951
420,151
507,606
162,400
1067,693
1028,95
759,103
322,725
494,153
630,190
586,1052
427,217
40,596
757,379
624,391
605,404
828,793
1066,118
770,963
249,350
165,1009
185,324
743,232
58,715
316,939
164,915
802,435
409,734
370,653
1004,323
345,115
798,166
245,900
923,407
259,913
1038,80
231,1078
471,44
116,26
392,695
857,537
781,307
986,1057
42,442
511,988
1073,846
571,975
929,225
732,82
997,1089
294,579
238,552
488,62
463,659
38,762
801,970
1035,765
833,60
465,157
236,470
277,601
804,170
428,557
940,8
926,374
252,623
539,418
446,524
279,1098
558,448
388,1047
438,778
941,1002
965,615
504,607
266,840
239,797
466,1051
158,664
274,76
434,491
347,387
208,72
362,163
419,1075
706,175
612,291
131,1081
15,269
1082,807
314,974
931,595
952,1059
423,472
206,315
201,355
415,575
237,9
587,1034
567,572
176,883
372,532
92,711
790,328
1042,450
547,640
45,1049
789,760
953,604
183,611
775,1096
33,879
919,538
121,360
17,787
226,1040
864,679
50,393
278,159
210,625
945,848
1058,925
1020,1027
181,2
484,593
480,125
326,106
503,348
1097,338
643,454
531,646
142,972
412,39
888,959
309,1076
1083,918
756,985
858,523
310,469
548,147
200,180
662,886
682,456
887,665
1003,406
632,1079
650,869
373,561
1023,264
174,850
230,744
591,1044
947,842
290,390
782,394
313,697
228,152
969,321
69,906
482,246
1099,207
898,627
449,247
216,337
499,609
462,1019
251,85
588,849
1053,155
1091,495
276,870
542,0
738,139
205,227
49,551
907,876
667,1088
661,681
354,376
603,268
740,57
774,658
1015,622
474,191
824,955
346,138
545,145
649,105
364,755
275,204
962,352
267,31
517,256
107,1050
633,644
93,18
647,493
626,1045
598,768
148,28
841,1060
521,534
109,229
642,212
299,67
233,1087
769,641
791,699
262,156
73,758
459,7
912,1007
411,978
714,829
12,820
832,6
957,439
66,255
248,272
113,967
179,187
730,795
783,763
198,344
752,371
865,721
528,805
133,451
666,830
616,130
663,141
1043,916
685,971
657,1084
954,1046
1026,250
1069,720
501,977
119,984
421,405
1008,1010
295,327
733,814
284,562
11,683
827,1063
385,924
424,810
186,936
592,529
670,477
83,991
492,468
800,729
901,934
317,816
99,194
618,51
336,559
717,946
211,172
453,167
369,631
500,847
63,5
761,514
432,129
202,700
983,698
221,718
716,881
378,1031
671,704
383,331
389,766
728,981
281,497
476,447
750,64
100,872
144,286
691,885
960,23
430,516
813,161
837,834
382,101
889,241
705,489
648,123
838,339
746,342
996,154
979,896
177,21
143,43
594,94
620,582
754,261
621,334
353,302
220,445
235,126
636,745
506,224
628,875
1021,303
285,982
519,656
956,260
809,737
998,77
938,300
932,257
75,550
104,298
844,188
1013,22
687,270
1048,1070
30,19
258,124
980,496
311,877
719,253
1017,189
416,356
301,397
784,921
920,320
41,112
3,917
292,1086
173,81
184,263
856,634
731,425
684,464
319,1
386,845
377,203
137,871
169,707
441,1029
520,325
822,55
726,895
122,908
549,410
1074,541
637,868
71,168
84,893
937,398
878,14
788,855
614,580
