u,v
337,310
1014,409
7,929
579,984
507,330
750,335
179,483
553,455
444,548
41,936
991,555
738,235
831,283
49,912
822,63
566,384
469,204
64,802
229,735
630,423
726,369
308,381
803,314
65,1050
952,968
540,358
776,989
656,417
228,1013
542,175
1037,1020
747,284
856,236
1077,949
1004,479
239,496
792,309
416,565
19,749
704,196
33,931
1096,1065
518,716
1005,318
244,714
681,96
101,427
700,347
160,324
757,323
482,533
376,223
799,307
510,488
619,367
393,577
1032,1049
208,769
815,287
198,993
804,305
706,902
338,744
1073,21
477,575
156,340
419,552
80,866
497,508
157,332
922,126
463,515
130,562
86,537
303,642
25,149
987,1027
719,300
265,615
147,641
1069,428
544,466
1055,282
940,152
154,811
720,139
711,81
644,418
252,708
414,478
571,443
454,541
212,272
872,138
161,800
14,1028
30,487
193,523
121,602
539,468
1057,970
445,851
271,964
250,621
928,1075
451,522
666,410
865,247
676,231
45,364
52,888
277,997
658,60
48,527
873,232
481,485
395,580
1062,378
858,72
961,848
827,103
267,696
718,214
29,388
783,1088
745,972
398,370
574,425
503,145
32,1045
8,459
618,230
5,524
484,1044
492,490
505,182
881,222
587,251
317,903
37,449
806,304
862,217
634,448
23,950
581,442
389,290
944,125
612,429
439,1023
219,754
545,528
519,210
386,1038
422,561
932,564
150,794
262,697
904,173
667,108
1070,861
813,302
778,1000
61,954
770,102
159,452
433,426
975,62
1072,13
146,787
817,299
12,945
909,153
709,375
833,243
84,979
345,596
450,362
603,464
211,763
616,403
491,390
814,266
382,245
374,241
501,440
475,162
1017,1021
106,844
1022,53
959,113
88,396
274,675
201,691
563,122
55,627
588,462
819,75
322,599
242,728
739,213
721,326
380,698
203,498
89,741
402,316
764,260
226,743
117,836
1061,1059
321,504
951,15
694,847
195,773
673,397
789,200
837,258
605,775
1066,1002
371,77
1094,948
315,572
129,958
998,980
692,379
35,356
1054,493
647,264
298,348
891,197
255,661
254,436
883,220
1053,3
1063,1081
119,876
594,373
112,846
115,1031
357,546
2,992
79,687
567,532
168,359
85,352
727,350
967,93
956,420
1076,9
917,83
110,530
925,1008
238,734
878,91
253,695
677,385
751,334
534,476
740,962
513,780
16,877
911,143
985,995
919,165
224,753
1091,1012
269,684
98,960
669,394
28,990
974,868
623,116
339,595
1035,982
43,453
1051,679
786,268
1024,69
285,651
767,938
1098,629
331,636
723,105
58,874
494,343
132,683
158,1086
724,167
421,1060
202,994
164,473
926,131
171,796
934,1047
120,821
854,1036
34,638
946,136
18,791
860,51
1082,918
908,109
111,857
906,185
657,127
517,480
971,412
526,556
311,640
593,237
95,1034
624,215
151,520
703,377
401,570
525,474
1095,977
1052,1043
392,597
1039,39
1048,26
92,610
312,613
296,516
551,486
941,137
765,329
890,199
509,489
46,499
762,678
659,415
248,713
407,221
1071,1015
87,625
363,291
292,249
276,808
1083,1016
1009,411
366,36
850,256
470,511
671,263
664,413
342,600
68,885
512,135
921,163
349,495
614,686
725,355
20,432
313,685
923,227
301,729
1001,1040
606,538
947,1078
547,461
361,608
855,186
457,176
746,306
870,988
859,183
1067,1026
31,598
845,257
637,655
840,206
1084,557
591,288
500,506
1025,71
142,816
1042,578
275,662
78,404
333,365
646,169
141,829
22,472
843,216
1030,42
887,133
437,589
942,832
702,353
999,966
915,97
682,383
172,788
834,279
693,240
10,875
114,712
99,849
1003,47
177,777
582,435
853,233
1058,1029
351,261
94,864
387,601
937,986
1006,884
543,467
188,1
935,1089
286,643
554,76
430,535
1080,24
826,782
4,27
983,82
1074,996
559,447
838,100
17,631
205,44
441,558
812,56
70,502
465,259
6,886
955,123
900,187
663,360
293,650
924,144
118,825
155,57
1087,40
66,653
976,209
218,759
11,973
963,1011
514,529
617,761
1033,828
569,446
1090,981
406,568
690,354
170,584
1010,54
184,766
134,756
270,689
809,180
38,550
325,225
1099,0
50,295
1056,969
771,320
294,246
424,194
585,166
90,434
897,670
953,67
732,346
905,939
1079,399
1068,1064
943,148
820,297
672,408
178,839
336,620
892,191
327,391
73,920
405,576
965,1093
281,531
460,521
140,830
790,319
328,639
341,1085
549,458
592,438
104,611
189,560
107,280
400,344
760,278
901,128
835,192
74,368
1092,1007
914,174
916,1019
607,431
289,768
124,957
59,181
456,536
1097,978
471,772
1041,1046
722,372
841,234
190,273
207,1018
867,628
