u,v
700,35
183,119
368,153
938,761
144,853
171,582
984,404
403,804
382,597
1038,399
1012,45
940,414
164,768
766,579
25,394
772,591
255,283
751,172
90,302
40,269
869,407
893,1006
207,405
553,782
264,550
964,94
1043,386
179,468
655,14
409,862
135,755
122,322
484,262
175,891
942,604
81,576
743,716
785,75
415,821
92,933
315,617
1002,947
1008,932
864,902
101,746
931,117
263,986
1027,384
54,331
569,922
635,513
293,745
560,754
985,225
874,663
653,668
898,1067
110,944
967,82
98,1020
928,250
1029,215
237,400
367,612
341,671
545,418
915,70
469,594
632,475
1016,563
267,629
875,47
502,880
284,912
102,554
631,666
797,248
913,614
56,375
189,593
340,1022
501,643
606,826
140,982
707,299
242,791
966,211
757,616
104,85
813,674
1013,677
165,253
452,17
876,748
958,300
504,866
1068,935
865,428
44,182
186,74
114,149
934,530
787,202
764,132
815,878
1074,1085
494,16
30,954
111,419
457,903
929,603
528,173
841,198
860,827
134,342
783,974
835,659
673,159
1092,249
983,187
803,777
142,167
445,1063
453,474
664,1001
219,930
877,410
148,176
672,15
1049,287
412,830
337,867
431,900
214,921
523,392
423,195
622,9
145,477
128,845
518,909
719,63
381,973
354,89
753,22
487,736
634,790
1080,925
1095,335
319,531
881,347
437,321
205,781
527,705
43,493
917,762
191,760
645,442
326,1097
449,352
29,177
328,907
67,108
363,163
154,703
993,1078
1033,72
558,147
478,711
863,359
892,714
1083,353
624,288
252,844
455,345
824,310
1077,229
802,316
378,160
775,577
258,100
443,463
946,559
95,369
656,232
324,388
849,166
496,497
522,503
738,246
13,33
702,611
744,1042
562,295
1060,724
914,480
243,279
235,681
581,621
765,795
93,628
311,197
570,141
158,387
508,59
963,71
919,888
957,11
32,721
555,401
130,1045
492,228
794,588
855,767
920,366
65,640
695,858
683,567
848,676
447,470
162,245
69,662
532,566
318,1053
308,535
769,416
627,456
690,994
236,701
170,451
642,156
397,885
999,417
910,256
850,992
595,868
543,424
218,427
346,38
210,533
79,31
296,547
373,7
200,261
623,856
822,916
799,376
325,956
370,536
212,402
365,312
776,625
1015,896
297,538
133,131
505,86
728,1
460,584
338,667
1009,843
847,737
240,951
438,524
1048,722
638,988
1099,73
465,927
113,972
1089,137
259,650
184,801
979,630
301,109
435,636
377,578
231,696
514,21
