User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
283,482,7.266428626869114e-09,0.0003598576682968079,0.9999798079003379,2.0192099662094508e-05,3.0470525084690006,3.0472385643277144,6.094291072796715,NOMA,913.5838374116428,6.602234049527492,913.7690658868636,False,NLOS,137.0695089881663,1.9635822662162053e-14,6.822783516490223,0.11374587014493984,0.019703119021820394,49.913329915301595,2.950968010183332,54.56647610870341,False,NLOS,91.4298445672727,7.194747273333824e-10,-24.487676745420256,0.8002748205894572,0.6501426502295498,21.111186308882537,True,0.24475064549384398
108,161,7.804861313611019e-09,8.990423348796651e-05,0.9999131944792166,8.680552078345256e-05,3.1373231779602544,3.1381892652805723,6.275512443240826,NOMA,741.3238992099342,10.410077160738641,741.4674567290706,False,NLOS,131.23851364139878,7.518801785100799e-14,14.166189739213607,0.14541203737920894,0.02428845219615511,37.382957978320356,8.62565734939746,40.81181991100381,True,LOS,74.31865204192783,3.699429844284824e-08,1.8258512390923425,0.5767735110164717,0.767950045964821,9.07217977673619,True,0.25202861217834643
0,-1,5.716369403419402e-07,0.0,1.0,0.0,9.161476930194288,0.0,9.161476930194288,OMA,522.6458815238685,16.30802436247096,522.7181534195507,False,NLOS,121.76644341017463,6.658181948665804e-13,8.55212029745085,1.8752037869885236,0.07080237245008288,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.3679308004094092
1,-1,3.009547412545224e-08,0.0,1.0,0.0,4.958632709586765,0.0,4.958632709586765,OMA,954.0127681550753,2.623819351995703,954.275146518708,False,NLOS,140.19271407397318,9.565960706222956e-15,3.653675378302166,0.4686198300823912,0.01886793213086614,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.19914187588701868
2,-1,1.845156851208412e-07,0.0,1.0,0.0,7.5353973598521025,0.0,7.5353973598521025,OMA,916.4372406202289,19.169973332400023,916.455784643517,False,NLOS,129.57869496479523,1.1018703668419791e-13,4.762396273748693,0.9618068195570049,0.03998712946221792,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.3026263999940603
3,-1,1.8166163678818014e-06,0.0,1.0,0.0,10.82783201634024,0.0,10.82783201634024,OMA,504.9835082555339,10.557570160705687,505.1899913792135,False,NLOS,124.63782994775458,3.4372965742443637e-13,-6.023310736678823,1.5487780445506971,0.03596322245634579,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.4348526914192868
4,-1,1.4962128351472125e-06,0.0,1.0,0.0,10.548063605848467,0.0,10.548063605848467,OMA,758.6055096440064,8.756751224239453,758.7793898051224,False,NLOS,132.6222249061576,5.4673579643176706e-14,-9.569057415027215,2.1264332306055804,0.023733502925220997,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.423617012283071
5,-1,2.237341641045456e-06,0.0,1.0,0.0,11.128214538235273,0.0,11.128214538235273,OMA,646.9739090173431,19.737925422443507,646.9953078485509,False,NLOS,123.32862183620726,4.64662705076463e-13,-7.835909542158232,1.3315820140855148,0.09769324969336153,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.44691624651547285
6,-1,4.3904681185102324e-08,0.0,1.0,0.0,5.488793944542039,0.0,5.488793944542039,OMA,979.7496640120228,10.726112830893863,979.8536360021266,False,NLOS,135.78027321763784,2.6422425268032142e-14,6.521051390011146,0.5722384797284927,0.018372212956372074,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.22043349174867627
7,-1,9.838769494727496e-07,0.0,1.0,0.0,9.943799675282897,0.0,9.943799675282897,OMA,609.2055779299502,2.936896917419405,609.6049677443559,False,NLOS,132.3989180174486,5.755833178224937e-14,-9.392525468430533,1.3907863300372496,0.02960796457030491,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.3993493845495139
8,-1,5.401945989783562e-07,0.0,1.0,0.0,9.080003631332296,0.0,9.080003631332296,OMA,970.911818476755,6.5632745074213705,971.0868509586194,False,NLOS,138.1254416980506,1.5397699162048325e-14,-9.319919938729996,1.4887656012921235,0.01853947275030966,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.364658780374791
9,-1,1.1992022561834713e-07,0.0,1.0,0.0,6.917911765700211,0.0,6.917911765700211,OMA,997.2385170949491,14.587694215090906,997.2928737785563,False,NLOS,133.76273609031114,4.2046165068843535e-14,5.3070605467024095,1.077413142306709,0.019884961699111997,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.27782778175502854
10,-1,3.240297489265926e-07,0.0,1.0,0.0,8.344427959191831,0.0,8.344427959191831,OMA,687.5555295719024,19.917442256813526,687.5743149930137,False,NLOS,124.2533472526957,3.755478454426643e-13,12.659082505090726,2.270943724126938,0.08876270368825426,-1.0,-1.0,-1.0,False,N/A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,0.33511758872256353
